Airline ID,Name,Alias,IATA,ICAO,Callsign,Country,Active
4107,RAF Barkston Heath,null,,BKH,,United Kingdom,N
4108,Church Fenton Flying Training Unit,null,,CFN,CHURCH FENTON,United Kingdom,N
4109,Coltishall Flying Training Unit,null,,COH,COLT,United Kingdom,N
4110,Coningsby Flying Training Unit,null,,CBY,TYPHOON,United Kingdom,N
4111,Cottesmore Flying Training Unit,null,,COT,COTTESMORE,United Kingdom,N
4112,Cranwell Flying Training Unit,null,,CWL,CRANWELL,United Kingdom,N
4113,Kinloss Flying Training Unit,null,,KIN,KINLOSS,United Kingdom,Y
4114,Leeming Flying Training Unit,null,,LEE,JAVELIN,United Kingdom,N
4115,RAF Leuchars,null,,LCS,LEUCHARS,United Kingdom,N
4116,Linton-on-Ouse Flying Training Unit,null,,LOP,LINTON ON OUSE,United Kingdom,N
4117,Lossiemouth Flying Training Unit,null,,LOS,LOSSIE,United Kingdom,N
4118,Marham Flying Training Unit,null,,MRH,MARHAM,United Kingdom,N
4119,Northwood Headquarters (RAF,null,,NWO,,United Kingdom,N
4120,RAF Scampton,null,,SMZ,SCAMPTON,United Kingdom,N
4121,RAF St Athan,null,,STN,SAINT ATHAN,UNited Kingdom,N
4122,RAF St Mawgan Search and Rescue,null,,SMG,,United Kingdom,N
4123,RAF Topcliffe Flying Training Unit,null,,TOF,TOPCLIFFE,United Kingdom,N
4124,RAF Valley Flying Training Unit,null,,VYT,ANGLESEY,United Kingdom,N
4125,RAF Valley SAR Training Unit,null,,VLL,,United Kingdom,N
4126,Waddington FTU,null,,WAD,VULCAN,United Kingdom,N
4127,Wittering FTU,null,,WIT,STRIKER,United Kingdom,N
4128,RAF-Avia,null,,MTL,MITAVIA,Latvia,N
4129,RAK Airways,null,,RKM,RAKAIR,United Arab Emirates,N
4130,RWL Luftfahrtgesellschaft,null,,RWL,RHEINTRAINER,Germany,N
4131,Rabbit-Air,null,,RBB,RABBIT,Switzerland,N
4132,Race Cargo Airlines,null,,ACE,Fastcargo,Ghana,N
4133,Rader Aviation,null,,GBR,GREENBRIER AIR,United States,N
4134,Radixx Solutions International,null,1D,,,United States,N
4135,Raji Airlines,null,,RAJ,RAJI,Pakistan,N
4136,Raleigh Flying Service,null,,RFA,RALEIGH SERVICE,United States,N
4137,Ram Air Freight,null,,REX,RAM EXPRESS,United States,N
